section,offence,description
1,"Short title, extent and commen cement","(1) This Act may be called the Bharatiya Nagarik Suraksha Sanhita, 2023. (2) The provisions of this Sanhita, other than those relating to Chapters IX, XI and XII thereof, shall not apply— (a) to the State of Nagaland; (b) to the tribal areas, but the concerned State Government may, by notification, apply such provisions or any of them to the whole or part of the State of Nagaland or such tribal areas, as the case may be, with such supplemental, incidental or consequential modifications, as may be specified in the notification. Explanation.—In this section, “tribal areas ” means the territories which immediately before the 21st day of January, 1972, were included in the tribal areas of Assam, as referred to in paragraph 20 of the Sixth Schedule to the Constitution, other than those within the local limits of the municipality of Shillong. (3) It shall come into force on such date1 as the Central Government may, by notification in the Official Gazette, appoint."
2,Definitions,"(1) In this Sanhita, unless the context otherwise requires,— (a) “audio-video electronic” means shall include use of any communication device for the purposes of video conferencing, recording of processes of identification, search and seizure or evidence, transmission of electronic communication and for such other purposes and by such other means as the State Government may, by rules provide; (b) “bail” means release of a person accused of or suspected of commission of an offence from the custody of law upon certain conditions imposed by an officer or Court on execution by such person of a bond or a bail bond; (c) “bailable offence” means an offence which is shown as bailable in the First Schedule, or which is made bailable by any other law for the time being in force; and “non-bailable offence” means any other offence; (d) “bail bond” means an undertaking for release with surety; (e) “bond” means a personal bond or an undertaking for release without surety; (f) “charge” includes any head of charge when the charge contains more heads than one;"
3,Construction of references,"(1) Unless the context otherwise requires, any reference in any law, to a Magistrate without any qualifying words, Magistrate of the first class or a Magistrate of the second class shall, in relation to any area, be construed as a reference to a Judicial Magistrate of the first class or Judicial Magistrate of the second class, as the case may be, exercising jurisdiction in such area. (2) Where, under a ny law, other than this Sanhita, the functions exercisable by a Magistrate relate to matters,— (a) which involve the appreciation or shifting of evidence or the formulation of any decision which exposes any person to any punishment or penalty or detention in custody pending investigation, inquiry or trial or would have the effect of sending him for trial before any Court, they shall, subject to the provisions of this Sanhita, be exercisable by a Judicial Magistrate; or (b) which are administrative or executive in nature, such as, the granting of a licence, the suspension or cancellation of a licence, sanctioning a prosecution or withdrawing from a prosecution, they shall, subject to the provisions of clause (a) be exercisable by an Executive Magistrate."
4,"Trial of offences under Bharatiya Nyaya Sanhita, 2023 and other laws","(1) All offences under the Bharatiya Nyaya Sanhita, 2023 shall be investigated, inquired into, tried, and otherwise dealt with according to the provisions hereinafter contained. (2) All offences under any other law shall be investigated, inquired into, tried, and otherwise dealt with according to the same provisions, but subject to any enactment for the time being in force regulating the manner or place of investigating, inquiring into, trying or otherwise dealing with such offences."
5,Saving,"Nothing contained in this Sanhita shall, in the absence of a specific provision to the contrary, affect any special or local law for the time being in force, or any special jurisdiction or power conferred, or any special form of procedure prescribed, by any other law for the time being in force. CONSTITUTION OF CRIMINAL COURTS AND OFFICES"
6,Classes of Criminal Courts,"Besides the High Courts and the Courts constituted under any law, other than this Sanhita, there shall be, in every State, the following classes of Criminal Courts, namely:— (i) Courts of Session; (ii) Judicial Magistrates of the first class; (iii) Judicial Magistrates of the second class; and (iv) Executive Magistrates."
7,Territorial divisions,"(1) Every State shall be a sessions division or shall consist of sessions divisions; and every sessions divisions shall, for the purposes of this Sanhita, be a di strict or consist of districts. (2) The State Government may, after consultation with the High Court, alter the limits or the number of such divisions and districts. (3) The State Government may, after consultation with the High Court, divide any district into sub-divisions and may alter the limits or the number of such sub-divisions. (4) The sessions divisions, districts and sub-divisions existing in a State at the commencement of this Sanhita, shall be deemed to have been formed under this section."
8,Court of Session,"(1) The State Government shall establish a Court of Session for every sessions division. (2) Every Court of Session shall be presided over by a Judge, to be appointed by the High Court. (3) The High Court may also appoint Additional Sessions Judges to exercise jurisdiction in a Court of Session. (4) The Sessions Judge of one sessions division may be appointed by the High Court to be also an Additional Sessions Judge of another division, and in such case, he may sit for the disposal of cases at such place or places in the other division as the High Court may direct. (5) Where the office of the Sessions Judge is vacant, the High Court may make arrangements for the disposal of any urgent application which is, or may be, made or pending before such Court of Session by an Additional Sessions Judge or if there be no Additional Sessions Judge, by a Chief Judicial Magistrate, in the sessions division; and every such Judge or Magistrate shall have jurisdiction to deal with any such application. (6) The Court of Session shall ordinarily hold its sitting at such place or places as the High Court may, by notification, specify; but, if, in any particular case, the Court of Session is of opinion that it will tend to the general convenience of the parties and witnesses to hold its sittings at any other place in the sessions division, it may, with the consent of the prosecution and the accused, sit at that place for the disposal of the case or the examination of any witness or witnesses therein."
9,Courts of Judicial Magistrates,"(1) In every district there shall be established as many Courts of Judicial Magistrates of the first class and of the second class, and at such places, as the State Government may, after consultation with the High Court, by notification, specify: Provided that the State Government may, after consultation with the High Court, establish, for any local area, one or more Special Courts of Judicial Magistrates of the first class or of the second class to try any particular case or particular class of cases, and where any such Special Court is established, no other Court of Magistrate in the local area shall have jurisdiction to try any case or class of cases for the trial of which such Special Court of Judicial Magistrate has been established. (2) The presiding officers of such Courts shall be appointed by the High Court. (3) The High Court may, whenever it appears to it to be expedient or necessary, confer the powers of a Judicial Magistrate of the first class or of the second class on any member of the Judicial Service of the State, functioning as a Judge in a Civil Court."
10,"Chief Judicial Magistrate and Additional Chief Judicial Magistrate, etc","(1) In every district, the High Court shall appoint a Judicial Magistrate of the first class to be the Chief Judicial Magistrate. (2) The High Court may appoint any Judicial Magistrate of the first class to be an Additional Chief Judicial magistrate, and such Magistrate shall have all or any of the powers of a Chief Judicial Magistrate under this Sanhita or under any other law for the time being in force as the High Court may direct. (3) The High Court may designate any Judicial Magistrate o f the first class in any sub -division as the Sub-divisional Judicial Magistrate and relieve him of the responsibilities specified in this section as occasion requires. (4) Subject to the general control of the Chief Judicial Magistrate, every Sub -divisional Judicial Magistrate shall also have and exercise, such powers of supervision and control over the work of the Judicial Magistrates (other than Additional Chief Judicial Magistrates) in the sub -division as the High Court may, by general or special order, specify in this behalf."
