section,offence,description
41,When police may arrest without a warrant,"A police officer may arrest a person without an order from a Magistrate and without a warrant in the situations listed (e.g. a cognizable offence in their presence, or reasonable suspicion of involvement in a cognizable offence), subject to the recorded-reasons safeguards."
50,Person arrested to be informed of grounds of arrest and of right to bail,"Every police officer arresting a person without a warrant must immediately communicate the full particulars of the offence and, where the offence is bailable, inform the person of the right to be released on bail."
125,Order for maintenance of wives children and parents,"A Magistrate may order a person with sufficient means to pay a monthly allowance for the maintenance of a wife, child, or parents unable to maintain themselves."
144,Power to issue order in urgent cases of nuisance or apprehended danger,"A District/Sub-divisional Magistrate may, by written order, direct a person to abstain from a certain act to prevent obstruction, annoyance, injury, or a riot/affray."
154,Information in cognizable cases (FIR),"Information relating to the commission of a cognizable offence given to an officer in charge of a police station must be reduced to writing, read over to the informant, and entered in a book — this is the First Information Report (FIR)."
156,Police officers power to investigate cognizable case,"An officer in charge of a police station may investigate a cognizable case without a Magistrate's order; under sub-section (3) a Magistrate empowered under s.190 may order such an investigation."
161,Examination of witnesses by police,"A police officer investigating a case may orally examine any person supposed to be acquainted with the facts; such persons are bound to answer truthfully except questions exposing them to a criminal charge."
164,Recording of confessions and statements,"A Metropolitan or Judicial Magistrate may record a confession or statement made in the course of an investigation, after ensuring it is voluntary and following the prescribed cautions."
200,Examination of complainant,"A Magistrate taking cognizance of an offence on a complaint shall examine the complainant and witnesses on oath, reducing the substance to writing."
437,When bail may be taken in case of non-bailable offence,"A court (other than the High Court or Court of Session) may release a person accused of a non-bailable offence on bail, subject to conditions and exceptions for serious offences."
438,Direction for grant of bail to person apprehending arrest (anticipatory bail),"A High Court or Court of Session may direct that, in the event of arrest for a non-bailable offence, a person shall be released on bail (anticipatory bail)."
439,Special powers of High Court or Court of Session regarding bail,"The High Court or Court of Session has wider powers to grant bail and to set aside or modify conditions imposed by a Magistrate."
482,Saving of inherent powers of the High Court,"Nothing in the Code limits the inherent power of the High Court to make orders necessary to give effect to the Code, prevent abuse of court process, or secure the ends of justice."
